group,item,cond2,stimulus,target,sentence,question,left,right,
A,1,Clash.NoShift,SC_Clash_NoShift_1.wav,target_1,"On the way home, the thirteen men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,
B,1,Clash.Shift,SC_Clash_Shift_1.wav,target_1,"On the way home, the thirteen men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,
C,1,NoClash.NoShift,SC_NoClash_NoShift_1.wav,target_1,"On the way home, the thrifty men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,
D,1,NoClash.Shift,SC_NoClash_Shift_1.wav,target_1,"On the way home, the thrifty men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,
A,2,Clash.NoShift,SC_Clash_NoShift_2.wav,target_2,"Just as the party ended, the unkind guest from the next town over criticized the host's hair.",,,,
B,2,Clash.Shift,SC_Clash_Shift_2.wav,target_2,"Just as the party ended, the unkind guest from the next town over criticized the host's hair.",,,,
C,2,NoClash.NoShift,SC_NoClash_NoShift_2.wav,target_2,"Just as the party ended, the spiteful guest from the next town over criticized the host's hair.",,,,
D,2,NoClash.Shift,SC_NoClash_Shift_2.wav,target_2,"Just as the party ended, the spiteful guest from the next town over criticized the host's hair.",,,,
A,3,Clash.NoShift,SC_Clash_NoShift_3.wav,target_3,"Despite the high cost, the unkind boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,
B,3,Clash.Shift,SC_Clash_Shift_3.wav,target_3,"Despite the high cost, the unkind boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,
C,3,NoClash.NoShift,SC_NoClash_NoShift_3.wav,target_3,"Despite the high cost, the stingy boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,
D,3,NoClash.Shift,SC_NoClash_Shift_3.wav,target_3,"Despite the high cost, the stingy boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,
A,4,Clash.NoShift,SC_Clash_NoShift_4.wav,target_4,"As the car passed, fourteen dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,
B,4,Clash.Shift,SC_Clash_Shift_4.wav,target_4,"As the car passed, fourteen dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,
C,4,NoClash.NoShift,SC_NoClash_NoShift_4.wav,target_4,"As the car passed, countless dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,
D,4,NoClash.Shift,SC_NoClash_Shift_4.wav,target_4,"As the car passed, countless dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,
A,5,Clash.NoShift,SC_Clash_NoShift_5.wav,target_5,"Despite investors' worries, robust growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,
B,5,Clash.Shift,SC_Clash_Shift_5.wav,target_5,"Despite investors' worries, robust growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,
C,5,NoClash.NoShift,SC_NoClash_NoShift_5.wav,target_5,"Despite investors' worries, sturdy growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,
D,5,NoClash.Shift,SC_NoClash_Shift_5.wav,target_5,"Despite investors' worries, sturdy growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,
A,6,Clash.NoShift,SC_Clash_NoShift_6.wav,target_6,"Three years after the disaster, the intact house below the old dam site finally went on sale.",,,,
B,6,Clash.Shift,SC_Clash_Shift_6.wav,target_6,"Three years after the disaster, the intact house below the old dam site finally went on sale.",,,,
C,6,NoClash.NoShift,SC_NoClash_NoShift_6.wav,target_6,"Three years after the disaster, the stable house below the old dam site finally went on sale.",,,,
D,6,NoClash.Shift,SC_NoClash_Shift_6.wav,target_6,"Three years after the disaster, the stable house below the old dam site finally went on sale.",,,,
A,7,Clash.NoShift,SC_Clash_NoShift_7.wav,target_7,"As the crowd cheered, the chinese ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,
B,7,Clash.Shift,SC_Clash_Shift_7.wav,target_7,"As the crowd cheered, the chinese ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,
C,7,NoClash.NoShift,SC_NoClash_NoShift_7.wav,target_7,"As the crowd cheered, the spanish ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,
D,7,NoClash.Shift,SC_NoClash_Shift_7.wav,target_7,"As the crowd cheered, the spanish ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,
A,8,Clash.NoShift,SC_Clash_NoShift_8.wav,target_8,"As the dorm door opened, the unclean smell from the old pizza box met the janitor's nose.",,,,
B,8,Clash.Shift,SC_Clash_Shift_8.wav,target_8,"As the dorm door opened, the unclean smell from the old pizza box met the janitor's nose.",,,,
C,8,NoClash.NoShift,SC_NoClash_NoShift_8.wav,target_8,"As the dorm door opened, the pungent smell from the old pizza box met the janitor's nose.",,,,
D,8,NoClash.Shift,SC_NoClash_Shift_8.wav,target_8,"As the dorm door opened, the pungent smell from the old pizza box met the janitor's nose.",,,,
A,9,Clash.NoShift,SC_Clash_NoShift_9.wav,target_9,"On a bright spring day, the uncouth lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,
B,9,Clash.Shift,SC_Clash_Shift_9.wav,target_9,"On a bright spring day, the uncouth lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,
