group,item,cond2,stimulus,target,sentence,question,answer_1,answer_2,correct
A,1,Clash.NoShift,SC_Clash_NoShift_1.wav,target_1_A,"On the way home, the thirteen men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,answer_1
B,1,Clash.Shift,SC_Clash_Shift_1.wav,target_1_B,"On the way home, the thirteen men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,answer_1
C,1,NoClash.NoShift,SC_NoClash_NoShift_1.wav,target_1_C,"On the way home, the thrifty men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,answer_1
D,1,NoClash.Shift,SC_NoClash_Shift_1.wav,target_1_D,"On the way home, the thrifty men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,answer_1
B,2,Clash.NoShift,SC_Clash_NoShift_2.wav,target_2_B,"Just as the party ended, the unkind guest from the next town over criticized the host's hair.",,,,
C,2,Clash.Shift,SC_Clash_Shift_2.wav,target_2_C,"Just as the party ended, the unkind guest from the next town over criticized the host's hair.",,,,
A,2,NoClash.NoShift,SC_NoClash_NoShift_2.wav,target_2_A,"Just as the party ended, the spiteful guest from the next town over criticized the host's hair.",,,,
D,2,NoClash.Shift,SC_NoClash_Shift_2.wav,target_2_D,"Just as the party ended, the spiteful guest from the next town over criticized the host's hair.",,,,
C,3,Clash.NoShift,SC_Clash_NoShift_3.wav,target_3_C,"Despite the high cost, the unkind boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,answer_1
D,3,Clash.Shift,SC_Clash_Shift_3.wav,target_3_D,"Despite the high cost, the unkind boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,answer_1
B,3,NoClash.NoShift,SC_NoClash_NoShift_3.wav,target_3_B,"Despite the high cost, the stingy boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,answer_1
A,3,NoClash.Shift,SC_NoClash_Shift_3.wav,target_3_A,"Despite the high cost, the stingy boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,answer_1
D,4,Clash.NoShift,SC_Clash_NoShift_4.wav,target_4_D,"As the car passed, fourteen dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,answer_2
A,4,Clash.Shift,SC_Clash_Shift_4.wav,target_4_A,"As the car passed, fourteen dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,answer_2
C,4,NoClash.NoShift,SC_NoClash_NoShift_4.wav,target_4_C,"As the car passed, countless dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,answer_2
B,4,NoClash.Shift,SC_NoClash_Shift_4.wav,target_4_B,"As the car passed, countless dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,answer_2
A,5,Clash.NoShift,SC_Clash_NoShift_5.wav,target_5_A,"Despite investors' worries, robust growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,answer_2
B,5,Clash.Shift,SC_Clash_Shift_5.wav,target_5_B,"Despite investors' worries, robust growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,answer_2
C,5,NoClash.NoShift,SC_NoClash_NoShift_5.wav,target_5_C,"Despite investors' worries, sturdy growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,answer_2
D,5,NoClash.Shift,SC_NoClash_Shift_5.wav,target_5_D,"Despite investors' worries, sturdy growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,answer_2
B,6,Clash.NoShift,SC_Clash_NoShift_6.wav,target_6_B,"Three years after the disaster, the intact house below the old dam site finally went on sale.",,,,
C,6,Clash.Shift,SC_Clash_Shift_6.wav,target_6_C,"Three years after the disaster, the intact house below the old dam site finally went on sale.",,,,
A,6,NoClash.NoShift,SC_NoClash_NoShift_6.wav,target_6_A,"Three years after the disaster, the stable house below the old dam site finally went on sale.",,,,
D,6,NoClash.Shift,SC_NoClash_Shift_6.wav,target_6_D,"Three years after the disaster, the stable house below the old dam site finally went on sale.",,,,
C,7,Clash.NoShift,SC_Clash_NoShift_7.wav,target_7_C,"As the crowd cheered, the chinese ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,answer_1
D,7,Clash.Shift,SC_Clash_Shift_7.wav,target_7_D,"As the crowd cheered, the chinese ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,answer_1
B,7,NoClash.NoShift,SC_NoClash_NoShift_7.wav,target_7_B,"As the crowd cheered, the spanish ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,answer_1
A,7,NoClash.Shift,SC_NoClash_Shift_7.wav,target_7_A,"As the crowd cheered, the spanish ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,answer_1
D,8,Clash.NoShift,SC_Clash_NoShift_8.wav,target_8_D,"As the dorm door opened, the unclean smell from the old pizza box met the janitor's nose.",,,,
A,8,Clash.Shift,SC_Clash_Shift_8.wav,target_8_A,"As the dorm door opened, the unclean smell from the old pizza box met the janitor's nose.",,,,
C,8,NoClash.NoShift,SC_NoClash_NoShift_8.wav,target_8_C,"As the dorm door opened, the pungent smell from the old pizza box met the janitor's nose.",,,,
B,8,NoClash.Shift,SC_NoClash_Shift_8.wav,target_8_B,"As the dorm door opened, the pungent smell from the old pizza box met the janitor's nose.",,,,
A,9,Clash.NoShift,SC_Clash_NoShift_9.wav,target_9_A,"On a bright spring day, the uncouth lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,answer_2
B,9,Clash.Shift,SC_Clash_Shift_9.wav,target_9_B,"On a bright spring day, the uncouth lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,answer_2
C,9,NoClash.NoShift,SC_NoClash_NoShift_9.wav,target_9_C,"On a bright spring day, the rustic lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,answer_2
D,9,NoClash.Shift,SC_NoClash_Shift_9.wav,target_9_D,"On a bright spring day, the rustic lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,answer_2
B,10,Clash.NoShift,SC_Clash_NoShift_10.wav,target_10_B,"As the dancers twirled, an insane thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,answer_1
C,10,Clash.Shift,SC_Clash_Shift_10.wav,target_10_C,"As the dancers twirled, an insane thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,answer_1
A,10,NoClash.NoShift,SC_NoClash_NoShift_10.wav,target_10_A,"As the dancers twirled, a crazy thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,answer_1
D,10,NoClash.Shift,SC_NoClash_Shift_10.wav,target_10_D,"As the dancers twirled, a crazy thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,answer_1
C,11,Clash.NoShift,SC_Clash_NoShift_11.wav,target_11_C,"Late in the evening, the complex task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,answer_1
D,11,Clash.Shift,SC_Clash_Shift_11.wav,target_11_D,"Late in the evening, the complex task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,answer_1
