group,condition,item,stimulus,target,contains_target,sentence,question,answer_F,answer_J,correct
A,Clash.NoShift,1,SC_Clash_NoShift_1.wav,MEN,Y,"On the way home, the thirteen men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,F
B,Clash.Shift,1,SC_Clash_Shift_1.wav,MEN,Y,"On the way home, the thirteen men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,F
C,NoClash.NoShift,1,SC_NoClash_NoShift_1.wav,MEN,Y,"On the way home, the thrifty men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,F
D,NoClash.Shift,1,SC_NoClash_Shift_1.wav,MEN,Y,"On the way home, the thrifty men from the construction-site stopped at the dollar store.",WHERE DID THE MEN STOP?,THE DOLLAR STORE,THE CONSTRUCTION SITE,F
B,Clash.NoShift,2,SC_Clash_NoShift_2.wav,GUEST,Y,"Just as the party ended, the unkind guest from the next town over criticized the host's hair.",,,,
C,Clash.Shift,2,SC_Clash_Shift_2.wav,GUEST,Y,"Just as the party ended, the unkind guest from the next town over criticized the host's hair.",,,,
D,NoClash.NoShift,2,SC_NoClash_NoShift_2.wav,GUEST,Y,"Just as the party ended, the spiteful guest from the next town over criticized the host's hair.",,,,
A,NoClash.Shift,2,SC_NoClash_Shift_2.wav,GUEST,Y,"Just as the party ended, the spiteful guest from the next town over criticized the host's hair.",,,,
D,Clash.NoShift,3,SC_Clash_NoShift_3.wav,BOSS,Y,"Despite the high cost, the unkind boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,F
A,Clash.Shift,3,SC_Clash_Shift_3.wav,BOSS,Y,"Despite the high cost, the unkind boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,F
B,NoClash.NoShift,3,SC_NoClash_NoShift_3.wav,BOSS,Y,"Despite the high cost, the stingy boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,F
C,NoClash.Shift,3,SC_NoClash_Shift_3.wav,BOSS,Y,"Despite the high cost, the stingy boss from the new management didn't cover the meal.",WAS THE MEAL EXPENSIVE?,YES,NO,F
C,Clash.NoShift,4,SC_Clash_NoShift_4.wav,DOGS,Y,"As the car passed, fourteen dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,J
D,Clash.Shift,4,SC_Clash_Shift_4.wav,DOGS,Y,"As the car passed, fourteen dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,J
A,NoClash.NoShift,4,SC_NoClash_NoShift_4.wav,DOGS,Y,"As the car passed, countless dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,J
B,NoClash.Shift,4,SC_NoClash_Shift_4.wav,DOGS,Y,"As the car passed, countless dogs by the side of the road started howling loudly.",WHAT DID THE DOGS DO?,GROWL,HOWL,J
A,Clash.NoShift,5,SC_Clash_NoShift_5.wav,GROWTH,Y,"Despite investors' worries, robust growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,J
B,Clash.Shift,5,SC_Clash_Shift_5.wav,GROWTH,Y,"Despite investors' worries, robust growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,J
C,NoClash.NoShift,5,SC_NoClash_NoShift_5.wav,GROWTH,Y,"Despite investors' worries, sturdy growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,J
D,NoClash.Shift,5,SC_NoClash_Shift_5.wav,GROWTH,Y,"Despite investors' worries, sturdy growth from the economy kept recession at bay.",WHO WERE WORRIED?,POLITICIANS,INVESTORS,J
B,Clash.NoShift,6,SC_Clash_NoShift_6.wav,HOUSE,Y,"Three years after the disaster, the intact house below the old dam site finally went on sale.",,,,
C,Clash.Shift,6,SC_Clash_Shift_6.wav,HOUSE,Y,"Three years after the disaster, the intact house below the old dam site finally went on sale.",,,,
D,NoClash.NoShift,6,SC_NoClash_NoShift_6.wav,HOUSE,Y,"Three years after the disaster, the stable house below the old dam site finally went on sale.",,,,
A,NoClash.Shift,6,SC_NoClash_Shift_6.wav,HOUSE,Y,"Three years after the disaster, the stable house below the old dam site finally went on sale.",,,,
D,Clash.NoShift,7,SC_Clash_NoShift_7.wav,SHIP,Y,"As the crowd cheered, the chinese ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,F
A,Clash.Shift,7,SC_Clash_Shift_7.wav,SHIP,Y,"As the crowd cheered, the chinese ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,F
B,NoClash.NoShift,7,SC_NoClash_NoShift_7.wav,SHIP,Y,"As the crowd cheered, the spanish ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,F
C,NoClash.Shift,7,SC_NoClash_Shift_7.wav,SHIP,Y,"As the crowd cheered, the spanish ship from across the ocean pulled into the harbor.",WAS THERE A CROWD WATCHING?,YES,NO,F
C,Clash.NoShift,8,SC_Clash_NoShift_8.wav,SMELL,Y,"As the dorm door opened, the unclean smell from the old pizza box met the janitor's nose.",,,,
D,Clash.Shift,8,SC_Clash_Shift_8.wav,SMELL,Y,"As the dorm door opened, the unclean smell from the old pizza box met the janitor's nose.",,,,
A,NoClash.NoShift,8,SC_NoClash_NoShift_8.wav,SMELL,Y,"As the dorm door opened, the pungent smell from the old pizza box met the janitor's nose.",,,,
B,NoClash.Shift,8,SC_NoClash_Shift_8.wav,SMELL,Y,"As the dorm door opened, the pungent smell from the old pizza box met the janitor's nose.",,,,
A,Clash.NoShift,9,SC_Clash_NoShift_9.wav,LAD,Y,"On a bright spring day, the uncouth lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,J
B,Clash.Shift,9,SC_Clash_Shift_9.wav,LAD,Y,"On a bright spring day, the uncouth lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,J
C,NoClash.NoShift,9,SC_NoClash_NoShift_9.wav,LAD,Y,"On a bright spring day, the rustic lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,J
D,NoClash.Shift,9,SC_NoClash_Shift_9.wav,LAD,Y,"On a bright spring day, the rustic lad from the small country town arrived in the city.",WAS IT A RAINY DAY?,YES,NO,J
B,Clash.NoShift,10,SC_Clash_NoShift_10.wav,THOUGHT,Y,"As the dancers twirled, an insane thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,F
C,Clash.Shift,10,SC_Clash_Shift_10.wav,THOUGHT,Y,"As the dancers twirled, an insane thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,F
D,NoClash.NoShift,10,SC_NoClash_NoShift_10.wav,THOUGHT,Y,"As the dancers twirled, a crazy thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,F
A,NoClash.Shift,10,SC_NoClash_Shift_10.wav,THOUGHT,Y,"As the dancers twirled, a crazy thought for a new, bold costume entered Angela's mind.",WHO TWIRLED?,THE DANCERS,ANGELA,F
D,Clash.NoShift,11,SC_Clash_NoShift_11.wav,TASK,Y,"Late in the evening, the complex task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,F
A,Clash.Shift,11,SC_Clash_Shift_11.wav,TASK,Y,"Late in the evening, the complex task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,F
B,NoClash.NoShift,11,SC_NoClash_NoShift_11.wav,TASK,Y,"Late in the evening, the easy task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,F
C,NoClash.Shift,11,SC_NoClash_Shift_11.wav,TASK,Y,"Late in the evening, the easy task for his demanding boss seemed insurmountable.",WHO WAS THE TASK FOR?,THE BOSS,THE EMPLOYEE,F
C,Clash.NoShift,12,SC_Clash_NoShift_12.wav,SENSE,Y,"Hearing the barking dog, the innate sense for protection in heights drove squirrels up the tree.",WHAT FRIGHTENED THE SQUIRRELS?,A BIRD,A DOG,J
